javascript;
size;time
64;0,319
128;0,273
256;0,271
512;0,359
1024;0,532
2048;1,287
4096;4,690
java/needle;
size;time
64;0,7557
128;0,162
256;0,175
512;0,369
1024;0,778
2048;0,481
4096;0,937
C;
size;time
64;0,973
128;0,033
256;0,036
512;2,8580
1024;1,2270
2048;1,4410
4096;1,3350
python;
size;time
64;0,686
128;0,574
256;1,2050
512;4,1500
1024;15,0870
2048;63,8890
4096;235,6190
Go;
size;time
64;3,5958
128;1,4210
256;1,7100
512;3,4310
1024;16,5190
2048;93,6510
4096;647,1900
rust;
size;time
64;0,46
128;1,098
256;8,154
512;64,720
1024;520,471
