python;
size;memory
64;20094828
128;6336336
256;10079864
512;23403276
1024;43183640
2048;123517304
4096;502290724
javascript;
size;memory
64;11165572
128;12980092
256;24612728
512;27246452
1024;80711460
2048;182316660
4096;618797828
Go;
size;memory
64;73249720
128;60325460
256;68402588
512;66620456
1024;124936384
2048;512338264
4096;1444306924
java/needle;
size;memory
64;13889280
128;5722028
256;9432988
512;23469992
1024;58847116
2048;166158216
4096;697872144
C;
size;memory
64;855968
128;61376
256;1048508
512;15467864
1024;10184608
2048;2778848
4096;11675372
rust;
size;memory
64;229192
128;827064
256;968332
512;84633424
